# mask_cen mask_weight
6.536832999237692547e+02 9.922751316812172817e-01
6.537022999237644854e+02 9.916260182905730636e-01
6.537130999237617743e+02 9.849866352948759562e-01
6.537376999237555992e+02 9.933199200443981747e-01
6.537641999237489472e+02 9.853995769060358567e-01
6.537701999237474411e+02 9.905001737892724645e-01
6.537824999237443535e+02 9.662469950640536487e-01
6.538012999237396343e+02 9.927234908517195144e-01
6.538106999237372747e+02 9.459534910954520148e-01
6.538266999237332584e+02 9.937659455194257641e-01
6.538498999237274347e+02 9.933059451876325996e-01
6.538697999237224394e+02 9.915148162926924469e-01
6.538950999237160886e+02 9.918855982667220683e-01
6.539368999237055959e+02 9.915408170477308936e-01
6.539650999236985172e+02 9.932809060253290356e-01
6.539831999236939737e+02 9.924062218291545001e-01
6.539932999236914384e+02 9.905393428431817915e-01
6.540075999236878488e+02 9.934569142183107271e-01
6.540269999236829790e+02 9.931757412604501623e-01
6.540615999236742937e+02 9.918544990421537255e-01
6.540838999236686959e+02 9.930230878887003065e-01
6.540939999236661606e+02 9.852600647594194072e-01
6.541319999236566218e+02 9.917356850511381827e-01
6.541511999236518022e+02 9.822435742294044481e-01
6.541680999236475600e+02 9.925585638941051281e-01
6.541805999236444222e+02 9.874828503468296992e-01
6.541908999236418367e+02 9.932981276386566583e-01
6.542052999236382220e+02 9.936071848373148052e-01
6.542269999236327749e+02 9.908121161210547978e-01
6.542490999236272273e+02 9.907517298732863020e-01
6.542667999236227843e+02 9.794975019279588135e-01
6.542993999236146010e+02 9.927835853279245448e-01
6.543297999236069700e+02 9.930843982782826540e-01
6.543382999236048363e+02 9.908937945985868412e-01
6.543778999235948959e+02 9.931129576523053393e-01
6.544176999235849053e+02 9.898898861858803633e-01
6.544575999235748895e+02 9.932177280611451664e-01
6.544752999235704465e+02 9.910566290646669607e-01
6.544927999235660536e+02 9.913302035542229662e-01
6.545318999235562387e+02 9.826204182389480790e-01
6.545469999235524483e+02 9.925489563878588939e-01
6.545854999235427840e+02 9.933517353523009241e-01
6.546153999235352785e+02 9.932861704363771249e-01
6.546323999235310112e+02 9.926220319777183665e-01
6.546557999235251373e+02 9.925035215241823083e-01
6.546743999235204683e+02 9.926542585424333875e-01
6.547228999235082938e+02 9.930169671969073519e-01
6.547417999235035495e+02 9.923004633457556123e-01
6.547610999234987048e+02 9.932486751944138437e-01
6.547838999234929815e+02 9.928302418453566203e-01
6.548268999234821877e+02 9.926098131496157162e-01
6.548600999234738538e+02 9.933302721559272852e-01
6.548867999234671515e+02 9.922033740840225935e-01
6.549386999234541236e+02 9.939268684792212927e-01
6.549754999234448860e+02 9.918907018214785376e-01
6.550006999234385603e+02 9.935103421980120419e-01
6.550322999234306280e+02 9.929473778578075116e-01
6.550518999234257080e+02 9.922180859343110448e-01
6.550641999234226205e+02 9.922307021850089725e-01
6.550752999234198342e+02 9.895108095841056439e-01
6.551439999234025890e+02 9.934976613140980017e-01
6.551744999233949329e+02 9.931483069509186024e-01
6.552433999233776376e+02 9.931929874380858170e-01
6.553607999233481678e+02 9.934728422248473301e-01
6.553846999233421684e+02 9.927434679295887854e-01
6.554372999233289647e+02 9.931958101887569113e-01
6.554660999233217353e+02 9.901677656210485790e-01
6.554922999233151586e+02 9.928814344103653600e-01
6.555505999233005241e+02 9.935096876047996295e-01
6.555845999232919894e+02 9.928749115184929419e-01
6.556119999232851114e+02 9.932456426137712402e-01
6.556398999232781080e+02 9.925168366617688198e-01
6.556755999232691465e+02 9.932698581976543428e-01
6.557597999232480106e+02 9.930374489065481036e-01
6.558380999232283557e+02 9.874583562955056015e-01
6.558484999232257451e+02 9.823340900376413831e-01
6.559183999232081987e+02 9.997664636253887904e-01
6.559731999231944428e+02 9.928985125071873030e-01
6.559888999231905018e+02 9.930583801427588231e-01
6.560082999231856320e+02 9.921142811152667829e-01
6.560375999231782771e+02 9.930805903158319570e-01
6.560720999231696169e+02 9.934030442543424488e-01
6.561045999231614587e+02 9.839499316433497622e-01
6.561183999231579946e+02 9.932845370236889071e-01
6.561275999231556852e+02 9.886708794543741519e-01
6.561380999231530495e+02 9.912128502147384834e-01
6.561889999231402726e+02 9.919924422522168328e-01
6.562024999231368838e+02 9.931548295686843941e-01
6.562657999231209942e+02 9.918507173478039451e-01
6.562890999231151454e+02 9.931530613610672908e-01
6.564074999230854246e+02 9.933759190233735215e-01
6.564254999230809062e+02 9.929522644339195958e-01
6.564713999230693844e+02 9.934692620973901711e-01
6.565799999230421236e+02 9.932340177391396630e-01
6.566651999230207366e+02 9.931559902568573017e-01
6.567662999229953584e+02 9.932479884696422401e-01
6.568709999229690766e+02 9.930877569856498832e-01
6.569777999229422676e+02 9.931584090538883025e-01
6.570422999229260768e+02 9.932054340662379577e-01
6.570878999229146302e+02 9.935145962508645789e-01
6.572013999228861394e+02 9.930582867053382445e-01
6.572282999228793869e+02 9.913266587870842583e-01
6.572447999228752451e+02 9.924447267301242936e-01
6.574592999228214012e+02 9.988109423365989503e-01
6.577193999227561108e+02 9.927981788840668509e-01
6.577785999227412503e+02 9.928417049376448977e-01
6.578120999227328412e+02 9.930447722381502418e-01
6.578564999227216958e+02 9.927897382678991800e-01
6.579427999227000328e+02 9.927605720233867448e-01
6.580331999226773405e+02 9.982968007507661001e-01
6.581186999226558783e+02 9.993931446421440157e-01
6.584682999225681215e+02 9.919828509548247464e-01
6.585294999225527590e+02 9.939148764230706368e-01
6.585610999225448268e+02 9.922042093096820059e-01
6.586458999225235402e+02 9.929265267735115641e-01
6.586942999225113908e+02 9.918460391258882014e-01
6.587158999225059688e+02 9.899433824928312031e-01
6.587341999225013751e+02 9.926686503597533795e-01
6.587952999224860378e+02 9.930733427587662421e-01
6.588668999224680647e+02 9.917826987946887218e-01
6.588811999224644751e+02 9.915704224363084407e-01
6.589066999224580741e+02 9.928733965021664387e-01
6.589157999224557898e+02 9.885781916880752584e-01
6.589308999224519994e+02 9.906527359527927956e-01
6.589480999224476818e+02 9.930808252276318582e-01
6.589708999224419586e+02 9.917141366288828586e-01
6.590133999224312902e+02 9.914188846627334240e-01
6.590394999224247385e+02 9.929857677270601535e-01
6.590781999224150240e+02 9.919236136254229175e-01
6.591039999224085477e+02 9.929748920885952401e-01
6.591221999224039791e+02 9.927882050283779458e-01
6.592008999223842238e+02 9.910480106737024064e-01
6.592329999223761661e+02 9.926959017743892666e-01
6.592634999223685099e+02 9.933157143075787010e-01
6.593653999223429309e+02 9.913744066905371133e-01
6.595275999223022154e+02 9.931267022649192810e-01
6.595631999222932791e+02 9.920241152747883984e-01
6.595952999222852213e+02 9.929983413529823721e-01
6.597004999222588140e+02 9.922296272953587959e-01
6.597594999222440038e+02 9.929242015123921350e-01
6.598221999222282648e+02 9.923723548615767109e-01
6.602009999221331782e+02 9.923984533511014394e-01
6.602851999221120423e+02 9.923806702762495435e-01
6.603318999221003196e+02 9.923990079614197768e-01
6.604654999220667833e+02 9.927348729731393373e-01
6.606517999220200181e+02 9.918305030080847295e-01
6.606737999220144957e+02 9.954550582612561316e-01
6.607708999219901216e+02 9.898904183902632603e-01
6.611614999218920730e+02 9.926508673991832898e-01
6.612260999218758570e+02 9.926630917626050321e-01
6.618535999217183416e+02 9.924783589998688038e-01
6.619796999216866880e+02 9.922040908500165957e-01
6.620340999216730324e+02 9.925593576964812925e-01
6.623466999215945634e+02 9.923606386866187234e-01
6.630761999214114439e+02 9.943376889406473351e-01
6.631768999213861662e+02 9.924487279994540501e-01
6.632300999213728119e+02 9.919916566811095571e-01
6.634085999213280047e+02 9.920195659971366986e-01
6.635041999213040071e+02 9.921749159472722512e-01
6.637272999212480045e+02 9.926741914705471403e-01
6.642335999211209128e+02 9.923158136466689871e-01
6.643030999211034668e+02 9.923724786468874903e-01
6.647135999210004229e+02 9.920801806957609825e-01
6.648332999209703758e+02 9.915017785439516063e-01
6.652629999208625122e+02 9.969098004878738095e-01
6.709628999194317203e+02 9.999992160554442844e-01
6.795575999172742740e+02 9.998732171583440964e-01
6.808412999169520390e+02 9.958235507814505727e-01
6.813225999168312228e+02 9.958884919051291806e-01
6.818110999167085993e+02 9.960300426338407620e-01
6.821931999166126843e+02 9.959366161543369289e-01
6.822721999165928537e+02 9.951352727039474155e-01
6.828112999164575285e+02 9.962253245775067878e-01
6.829042999164341836e+02 9.927197785867517554e-01
6.830629999163943467e+02 9.960620359084647601e-01
